Hour,Avg
12a,5.50295119182747
1a,5.98321428571429
2a,3.48705302096178
3a,10.5009416195857
4a,5.27361563517915
5a,1.4540497294566
6a,1.4065734989648
7a,2.37415402949249
8a,3.97697812869448
9a,5.33806915781378
10a,6.91533384511258
11a,8.06550312622548
12p,9.47187769264805
1p,11.0342355883116
2p,12.4697518469318
3p,13.2090551449466
4p,14.2393563481359
5p,15.5960300838203
6p,16.5465230720778
7p,16.2940244038261
8p,17.4340423446753
9p,14.8055186569171
10p,10.3976229322726
11p,11.2796071451275
